IATA;nom de la compagnie;Nom complet;poid cabine;Taille du bagage à main;taille soute;Poids max. autorisé des bagages en soute; Services à bord;WIFI;Alliance;numéro de téléphone;Site Web;Nationalité;Aéroport de base;Siège Social ;Date de création;fin d'activité;PONCTUALITÉ momondo;VOLS RETARDÉS momondo;VOLS ANNULÉS momondo;Age moyen de la flotte;taille de la flotte;programme de fidelité;avion 1;quantité 1;avion 2;quantité 2;avion 3;quantité 3;avion 4;quantité 4;avion 5;quantité 5;avion 6;quantité 6;avion 7;quantité 7;avion 8;quantité 8;avion 9;quantité 9;avion 10;quantité 10;avion 11;quantité 11;avion 12;quantité 12;avion 13;quantité 13;avion 14;quantité 14;avion 15;quantité 15
OS;Austrian Airlines;Austrian Airlines (Österreichische Luftverkehrs AG) ;10kg;55 x 40 x 23 cm;158 cm cumulés;32 kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;820816816;austrian.com;;Vienne (VIE) ;;21093;;0,78;0,09;0,01;11.8 ;40;; Airbus A319-100 ;7; Airbus A320-200 ;9; Airbus A321-100 ;3; Airbus A321-200 ;3; Boeing 737-700 ;2; Boeing 737-800 ;6; Boeing 767-300 ;6; Boeing 777-200 ;4;;;;;;;;;;;;;;
OU;Croatia Airlines;Croatia Airlines d.d. ;8 kg;55 x 40 x 20 cm;158 cm cumulés;30kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;+33 1 48 16 40 00;croatiaairlines.com;Croatie;Zagreb (ZAG) ;Croatie Zagreb;32709;;;;;9.1 ;13;; Airbus A319-100 ;4; Airbus A320-200 ;3; De-Havilland-Canada DHC-8-400 ;6;;;;;;;;;;;;;;;;;;;;;;;;
OV;Estonian Air;;;45cm*25cm*20cm;;23kg;  ;NON;;96824272222;salamair.com;Estonie;Tallinn (TLL) ;Tallin;33573;;;;;8.6 ;8;; Canadair CRJ-900 ;3; Embraer ERJ-170 ;4; Saab 340-Saab 340 ;1;;;;;;;;;;;;;;;;;;;;;;;;
OX;Orient Thai Airlines;;;;;;  ;NON;;;;;Bangkok - Suvarnabhumi (BKK) ;;1995;;;;;23.3 ;19;; Boeing 737-300 ;5; Boeing 737-400 ;2; Boeing 747-300 ;2; Boeing 747-400 ;3; Boeing 767-300 ;4; McDonnell-Douglas MD-82 ;1;;;;;;;;;;;;;;;;;;
OZ;ASIANA Airlines;Asiana Airlines, Inc. ;22 kg;115 cm cumulés;158 cm cumulés;32 kg; Repas et boissons inclus dans le billet  ;NON;Star Alliance;18002274262;flyasiana.com;Corée du Sud;Séoul - Incheion (ICN) ;Osae-Dong Seoul;32190;;;;;10;79;Asiana Club ; Airbus A320-200 ;11; Airbus A321-100 ;2; Airbus A321-200 ;16; Airbus A330-300 ;10; Boeing 737-400 ;5; Boeing 737-500 ;3; Boeing 747-400 ;13; Boeing 767-300 ;8; Boeing 777-200 ;11;;;;;;;;;;;;
P0;Proflight Air Services;Proflight Commuter Services Ltd ;;;;;  ;NON;;+260 1 271 032;proflight-zambia.com;;;;;;;;;23.7 ;1;; Boeing 737-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P3;AVE.com;;;;;;  ;NON;;;;;;;1996;;;;;34.6 ;2;; Boeing 737-200 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P4;Air Charter Africa;;;;;;  ;NON;;2,34818E+12;flyairpeace.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P5;Copa Airlines Colombia;;;;;;  ;NON;;;wingo.com;;;;2010;;;;;12.3 ;14;; Boeing 737-700 ;1; Embraer ERJ-190 ;13;;;;;;;;;;;;;;;;;;;;;;;;;;
P6;Pascan Aviation;;;;;;  ;NON;;+1 888 313-8777;pascan.com;;;;;;;;;26.9 ;3;; ATR 42/72-ATR 42 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P9;Peruvian Airlines;;;;;;  ;NON;;;peruvian.pe;;;;;;;;;29.2 ;10;; Boeing 737-200 ;7; Boeing 737-300 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
PA;AirBlue;;;;;;  ;NON;;+92 51 111 247 258;airblue.com;;;;2003;;;;;3.6 ;3;; Airbus A320-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PC;Pegasus Airlines;Pegasus Hava Ta__mac_l___ A._. ;8 kg;55 x 40 x 20 cm;;32 kg; Repas et boissons inclus dans le billet  ;NON;;33170700737;flypgs.com;Turquie;Istanbul - Sabiha Gökçen (SAW) ;Istanbul;32843;;0,82;0,09;0,01;3.4 ;39;Pegasus Plus ; Boeing 737-400 ;2; Boeing 737-800 ;37;;;;;;;;;;;;;;;;;;;;;;;;;;
PD;Porter Airlines;Porter Airlines Inc. ;9kgs;55cm x 40cm x 23cm ;;;  ;NON;;18886198622;flyporter.com;;Toronto - Toronto Island (YTZ) ;;38750;;;;;5.9 ;26;; De-Havilland-Canada DHC-8-400 ;26;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PE;People's Viennaline;Altenrhein Luftfahrt GmbH ;;;;;  ;NON;;;;;;;2010;;;;;9.2 ;1;; Embraer ERJ-170 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PF;Primera Air Scandinavia;;;;;;  ;NON;;4532820540;primeraair.com;;;;2009;;;;;11.9 ;2;; Boeing 737-800 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PG;Bangkok Airways;;5kgs;56cm x 36cm x 23cm ;;32 kilos; Repas et boissons inclus dans le billet  ;NON;;+66 2 270 6699;bangkokair.com;Thaïlande;Bangkok - Suvarnabhumi (BKK) ;Bangkok, Thailand;;;;;;6.7 ;19;FlyerBonus ; Airbus A319-100 ;8; Airbus A320-200 ;3; ATR 42/72-ATR 72 ;8;;;;;;;;;;;;;;;;;;;;;;;;
PJ;Air Saint-Pierre;;;19 cm x 40 cm x 46 cm;;25 kg;  ;NON;;05 08 41 00 00;airsaintpierre.com;France;Aéroport de Saint-Pierre Pointe-Blanche;Saint-Pierre;22346;;;;;5.2 ;1;; ATR 42/72-ATR 42 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK;PIA Pakistan International Air;;7 kg;55 x 38 x 22 cm;;;  ;NON;;08 00 90 53 50;piac.com.pk;;Karachi (KHI) ;;1946;;;;;16.3 ;30;; Airbus A310-300 ;8; ATR 42/72-ATR 42 ;6; Boeing 737-300 ;3; Boeing 747-300 ;3; Boeing 777-200 ;6; Boeing 777-300 ;3;;;;;;;;;;;;;;;;;;
PM;Canary Fly;Canary Fly, S.A. ;;;;;  ;NON;;34902808065;canaryfly.es;;;;2010;;;;;21;5;; ATR 42/72-ATR 42 ;1; ATR 42/72-ATR 72 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
PN;China West Air;West Airlines Co. Ltd. ;7kgs;55cm x 40cm x 20cm  ;;;  ;NON;;950716;westair.cn;;;;2006;;;;;3.4 ;20;; Airbus A319-100 ;4; Airbus A320-200 ;16;;;;;;;;;;;;;;;;;;;;;;;;;;
PQ;AirAsia Philippines;;;;;;  ;NON;;;;;;;40513;;;;;2.5 ;2;; Airbus A320-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PR;Philippine Airlines;;7kgs;55cm x 40cm x 20cm ;;40 kg; Repas et boissons inclus  ;OUI;;01 53 43 79 18;philippineairlines.com;Philippines;Manille (MNL) ;Pasay, Philippines;15033;;;;;9.8 ;38;Mabuhay Miles ; Airbus A319-100 ;4; Airbus A320-200 ;15; Airbus A330-300 ;8; Airbus A340-300 ;4; Boeing 747-400 ;5; Boeing 777-300 ;2;;;;;;;;;;;;;;;;;;
PS;Ukraine International Airlines;;10kg;55cm x 40cm x 20cm ;;69 kg;  ;NON;;01 58 22 20 06;flyUIA.com;Ukraine;Kiev - Boryspil International (KBP) ;Kiev;33878;;0,81;0,08;;15.1 ;41;; Boeing 737-300 ;6; Boeing 737-400 ;4; Boeing 737-500 ;10; Boeing 737-800 ;8; Boeing 737-900 ;4; Boeing 767-300 ;3; Embraer ERJ-190 ;5;;;;;;;;;;;;;;;;
PW;Precision Air;Precision Air Services Ltd. ;;55 x 35 x 25 cm;;40kg;  ;NON;;+255 22 286 0701;precisionairtz.com;Tanzanie;Salaam (DAR) ;Dar Es Salam;1993;;;;;5.6 ;10;; ATR 42/72-ATR 42 ;5; ATR 42/72-ATR 72 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
PX;Air Niugini;;;Total des dimensions 158 cm;;30kg;  ;NON;;6753273396;airniugini.com.pg;Papouasie-Nouvelle-Guinée;Port Moresby - Jackson Fld (POM) ;Papouasie-Nouvelle Guinée;26969;;;;;17.4 ;27;; Boeing 737-700 ;1; Boeing 737-800 ;2; Boeing 757-200 ;1; Boeing 767-300 ;2; De-Havilland-Canada DHC-8-200 ;4; De-Havilland-Canada DHC-8-300 ;3; De-Havilland-Canada DHC-8-400 ;6;;;;;;;;;;;;;;;;
PY;Surinam Airways;;;55x35x25cm;;25 kg;  ;NON;;597465700;flyslm.com;Suriname;Aéroport international Johan Adolf Penge;Paramaribo.;;;;;;18.6 ;4;; Airbus A340-300 ;1; Boeing 737-300 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Q8;Trans Air Congo (TAC);;;;;;  ;NON;;;flytransaircongo.com;;;;34570;;;;;26.3 ;5;; Boeing 737-200 ;3; Boeing 737-300 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
QC;Camair Co;Cameroon Airlines Corporation ;10 kg;55 x 35 x 25 cm;;23 kg;  ;NON;;+237 33 50 55 00;camair-co.cm;Cameroun;Douala (DLA) ;Douala;;;;;;10.1 ;3;; Boeing 737-700 ;2; Boeing 767-300 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
QF;Qantas Airways;Qantas Airways Limited ;7 kg;115 cm cumulés;140 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;OneWorld;08 11 98 00 02;qantas.com;;Sydney - Kingsford Smith (SYD) ;;7626;;;;;10.9 ;140;Frequent Flyer ; Airbus A330-200 ;8; Airbus A330-300 ;10; Airbus A380-800 ;12; Boeing 737-400 ;12; Boeing 737-800 ;51; Boeing 747-400 ;23; Boeing 767-300 ;24;;;;;;;;;;;;;;;;
QG;Citilink Garuda Indonesia;;;;;;  ;NON;;0804 1 080808;citilink.co.id;;Surabaya (SUB) ;;2001;;;;;4.6 ;25;; Airbus A320-200 ;24; Boeing 737-300 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
QN;Air Armenia;;8kgs;55cm x 40cm x 20cm ;;;  ;NON;;;;;;;2003;;;;;19.6 ;2;; Airbus A319-100 ;1; Boeing 737-500 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
QR;Qatar Airways;;10kg;50 x 37 x 25 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;OneWorld;01 55 27 80 80;qatarairways.fr;Qatar;Doha (DOH) ;Doha (Qatar);34295;;0,68;0,11;0,03;4.7 ;102;Privilege Club ; Airbus A319-100 ;2; Airbus A320-200 ;29; Airbus A321-200 ;12; Airbus A330-200 ;16; Airbus A330-300 ;13; Airbus A340-600 ;4; Boeing 777-200 ;9; Boeing 777-300 ;17;;;;;;;;;;;;;;
QS;smartwings;Smart Wings ;5 kg;56 x 45 x 25 cm;;15 kg; Offert   En-cas et boissons sans alcool ;NON;;4,20256E+11;smartwings.com;République tchèque;Prague (PRG) ;Prague;;;;;;9.9 ;2;; Boeing 737-700 ;1; Boeing 737-800 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
QU;UTair-Ukraine;;;;;;  ;NON;;0 800 503 007;utair.ruutair.ua;;Kiev - Zhuliany International (IEV) ;;39692;;;;;13.7 ;15;; ATR 42/72-ATR 42 ;3; ATR 42/72-ATR 72 ;5; Boeing 737-500 ;1; Boeing 737-800 ;3; Canadair CRJ-200 ;3;;;;;;;;;;;;;;;;;;;;
QV;Lao Airlines;;;30cm*60cm*18cm;;20kg;  ;NON;;+856 21 212 051;laoairlines.com;Laos;Vientiane (VTE) ;Vientiane;28004;;;;;3;9;; Airbus A320-200 ;4; ATR 42/72-ATR 72 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
QZ;Indonesia AirAsia;PT Indonesia AirAsia ;;;;;  ;NON;;;airasia.com;;Jakarta - Soekarno-Hatta (CGK) ;;1999;;;;;3.9 ;30;; Airbus A320-200 ;30;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R2;Orenair (Orenburg Airlines);Orenair - ____________ _________ ;;;;;  ;NON;;73532676507;orenair.ru;;;;1932;;;;;11;19;; Boeing 737-800 ;16; Boeing 777-200 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
R3;Yakutia Airlines;;;;;;  ;NON;;74112443060;yakutia.aero;;;;2002;;;;;12.1 ;22;; Antonov An-140 ;4; Boeing 737-700 ;5; Boeing 737-800 ;3; Boeing 757-200 ;5; De-Havilland-Canada DHC-8-400 ;3; Sukhoi Superjet 100 ;2;;;;;;;;;;;;;;;;;;
R7;Aserca Airlines;Aero Servicios Carabobo C.A. ;;;;;  ;NON;;;;;;;24903;;;;;35;22;; McDonnell-Douglas DC-9-30 ;17; McDonnell-Douglas MD-82 ;2; McDonnell-Douglas MD-83 ;1;;;;;;;;;;;;;;;;;;;;;;;;
RA;Royal Nepal Airlines;;;;;;  ;NON;;16600110787;nepalairlines.com;;;;2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RC;Atlantic Airways;;;;;;  ;NON;;+298 34 1000;atlantic.fo;;;;32091;;;;;8;4;; Airbus A319-100 ;3; British-Aerospace Avro RJ100 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
RE;Aer Arann;Cornharbairl Gaillimh Teo d/b/a Aer Arann ;;55cm x 40cm x 24cm;;25 kg; Tous les services sont payants  ;NON;;+353 1 844 7600;stobartair.com;Irlande;Dublin (DUB) ;Dublin;1970;;;;;15.5 ;15;; ATR 42/72-ATR 42 ;4; ATR 42/72-ATR 72 ;9; Dornier Do-328 ;2;;;;;;;;;;;;;;;;;;;;;;;;
RG;Rotana Jet Aviation;;;56 cm x 45 cm x 25 cm;;40 kilos;  ;NON;;N.C.;http://www.varig.com/;Brésil;Guarulhos (Sao Paulo);Guarulhos (Sao Paulo);40651;;;;;12.5 ;5;; Airbus A319-100 ;2; Embraer ERJ-145 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
RI;Tigerair Mandala;PT Mandala Airlines ;;;;;  ;NON;;;;;Jakarta - Soekarno-Hatta (CGK) ;;25310;;;;;2.3 ;9;; Airbus A320-200 ;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RJ;Royal Jordanian;;7 kg;51 x 41 x 23 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;OneWorld;01 42 65 99 80;rj.com;Jordanie;Amman - Marka International (ADJ) ;Amman;;;;;;;32;Royal Plus ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RO;TAROM;Transporturile Aeriene Române (Romanian Air Transport) ;10 kg;55 x 40 x 20 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;NON;Skyteam;142654366;tarom.ro;Roumanie;Bucarest - Otopeni (OTP) ;Bucarest;19985;;;;;11.6 ;24;; Airbus A310-300 ;2; Airbus A318-100 ;4; ATR 42/72-ATR 42 ;7; ATR 42/72-ATR 72 ;2; Boeing 737-300 ;4; Boeing 737-700 ;4; Boeing 737-800 ;1;;;;;;;;;;;;;;;;
RP;Chautauqua Airlines;;;;;;  ;NON;;18004321359;;;;;26787;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RQ;Kam Air;;;;;;  ;NON;;+93 20 2200447;flykamair.com;;Kaboul (KBL) ;;37864;;;;;25;8;; Boeing 747-200 ;2; Boeing 767-200 ;1; McDonnell-Douglas MD-82 ;1; McDonnell-Douglas MD-83 ;2; McDonnell-Douglas MD-87 ;2;;;;;;;;;;;;;;;;;;;;
RV;Air Canada Rouge;;;;;;  ;NON;;;;;;;41456;;;;;15.5 ;39;; Airbus A319-100 ;20; Airbus A321-200 ;4; Boeing 767-300 ;15;;;;;;;;;;;;;;;;;;;;;;;;
S2;JetKonnect;;;;;;  ;NON;;9130302020;jetlite.com;;Bombay (BOM) ;;40993;;;;;7.3 ;17;; ATR 42/72-ATR 72 ;5; Boeing 737-700 ;5; Boeing 737-800 ;5; Boeing 737-900 ;2;;;;;;;;;;;;;;;;;;;;;;
S3;SBA Airlines;SBA Airlines, C.A. ;;;;;  ;NON;;18662132457;sbairlines.com;;;;35004;;;;;27.3 ;6;; Boeing 757-200 ;2; Boeing 767-300 ;2; McDonnell Douglas MD-83 ;2;;;;;;;;;;;;;;;;;;;;;;;;
S4;SATA International;Serviços e Transportes Aéreos, S.A. ;6 kg;55 x 40 x 20 cm;;20 kg; Repas et boissons inclus dans le billet  ;NON;;18007629995;azoresairlines.pt;Portugal;Ponta Delgada (PDL) ;Ponta Delgada, São Miguel;;;;;;14.2 ;8;; Airbus A310-300 ;4; Airbus A320-200 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
S5;Small Planet Airlines;Small Planet Airlines Lithuania ;5 kg;56 x 45 x 25 cm;158 cm cumulés;20 kg;  ;NON;;+370 5 252 56 60;smallplanet.aero;;;;40381;;;;;13.5 ;8;; Airbus A320-200 ;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S7;S7 Airlines;;;;;;  ;NON;;+7 495 777 99 99;s7.ru;;Moscou - Domodedovo (DME) ;;33725;;;;;8.3 ;46;S7 Priority ; Airbus A310-300 ;1; Airbus A319-100 ;20; Airbus A320-200 ;14; Boeing 737-400 ;2; Boeing 737-800 ;7; Boeing 767-300 ;2;;;;;;;;;;;;;;;;;;
SA;South African Airways;;;;;; Repas et boissons inclus dans le billet  ;NON;Star Alliance;825800969;flysaa.com;;Johannesbourg - Tambo (JNB) ;;12451;;;;;8.9 ;54;Voyager ; Airbus A319-100 ;11; Airbus A320-200 ;2; Airbus A330-200 ;6; Airbus A340-200 ;1; Airbus A340-300 ;8; Airbus A340-600 ;9; Boeing 737-200 ;1; Boeing 737-300 ;2; Boeing 737-800 ;14;;;;;;;;;;;;
SB;Air Caledonie International;;;55 x35 x 25 cm;;23 kg;  ;NON;;;aircalin.com;France;Aéroport Nouméa la Tontouta (NOU);98846 Nouméa, Nouvelle-Calédonie;30560;;;;;11.1 ;3;; Airbus A320-200 ;1; Airbus A330-200 ;2;;;;;;;;;;;;;;;;;;;;;;;;;;
SC;Shandong Airlines;;;;;;  ;NON;;86253195777;shandongair.com.cn;;Jinan (TNA) ;;34405;;;;;4.4 ;76;; Boeing 737-300 ;4; Boeing 737-700 ;3; Boeing 737-800 ;62; Canadair CRJ-200 ;5; Canadair CRJ-700 ;2;;;;;;;;;;;;;;;;;;;;
SD;Sudan Airways;;;;;;  ;NON;;;;;;;16834;;;;;19.4 ;8;; Airbus A320-200 ;5; Fokker F50 ;3;;;;;;;;;;;;;;;;;;;;;;;;;;
SE;XL Airways France;;5 kg;55 x 35 x 25 cm;;20 kg;  ;NON;;3,30892E+11;xl.com;France;Aéroport Paris-Charles-de-Gaulle;Tremblay-en-France;39022;;;;;8.4 ;7;; Airbus A330-200 ;3; Airbus A330-300 ;1; Boeing 737-800 ;2;;;;;;;;;;;;;;;;;;;;;;;;
SF;Tassili Airlines;;;;;;  ;NON;;+33 820 90 12 13;tassiliairlines.aero;;;;1997;;;;;6.8 ;12;; Boeing 737-800 ;4; De Havilland Canada DHC-8-200 ;4; De Havilland Canada DHC-8-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;
SG;SpiceJet;;7kgs;55cm x 40cm x 20cm;;;  ;NON;;18001803333;spicejet.com;;;;;;;;;4.6 ;58;; Boeing 737-800 ;37; Boeing 737-900 ;6; De-Havilland-Canada DHC-8-400 ;15;;;;;;;;;;;;;;;;;;;;;;;;
SI;Blue Islands;Blue Islands Limited ;6 kg;40 x 30 x 20 cm;81 x 41 x 36 cm;32 kg;  ;NON;;4,41482E+11;blueislands.com;;;;38762;;;;;24.1 ;5;; ATR 42/72-ATR 42 ;4; ATR 42/72-ATR 72 ;1;;;;;;;;;;;;;;;;;;;;;;;;;;
SJ;Sriwijaya Air;;;;;;  ;NON;;0804 1 777 777;sriwijayaair.co.id;;Jakarta - Soekarno-Hatta (CGK) ;;37935;;;;;22.4 ;47;; Boeing 737-200 ;13; Boeing 737-300 ;12; Boeing 737-400 ;7; Boeing 737-500 ;7; Boeing 737-800 ;4;;;;;;;;;;;;;;;;;;;;
SK;SAS;Scandinavian Airlines System ;10kg;55 x 40 x 23 cm;158 cm cumulés;23 kg; Vols Europe. Economy Repas et boissons à la charge du client. Economy Extra/Business Repas et boissons inclus dans le billet. Vols Long-courrier. Les repas et boissons inclus dans le billet ;OUI;Star Alliance;+33 8 25 32 53 35;flysas.com;Suède;Stockholm - Arlanda (ARN) ;Stockholm;17015;;0,77;0,09;0,02;13.7 ;149;EuroBonus ; Airbus A319-100 ;4; Airbus A321-200 ;8; Airbus A330-300 ;4; Airbus A340-300 ;7; Boeing 737-400 ;3; Boeing 737-500 ;7; Boeing 737-600 ;28; Boeing 737-700 ;21; Boeing 737-800 ;21; Canadair CRJ-900 ;12; McDonnell-Douglas MD-82 ;23; McDonnell-Douglas MD-87 ;2;;;;;;
SL;Thai Lion Air;;;;;;  ;NON;;;lionairthai.com;;;;41395;;;;;1.1 ;18;; Boeing 737-800 ;5; Boeing 737-900 ;13;;;;;;;;;;;;;;;;;;;;;;;;;;
SM;Air Cairo;;;;;;  ;NON;;+002 02 226 87681;flyaircairo.com;;;;2003;;;;;8.8 ;7;; Airbus A320-200 ;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SN;Brussels Airlines;;10kg;55 x 40 x 23 cm;158 cm cumulés;23 kg; ;NON;Star Alliance;0892 64 00 30;brusselsairlines.fr;;Bruxelles - National (BRU) ;;39028;;;;;13.1 ;49;; Airbus A319-100 ;11; Airbus A320-200 ;4; Airbus A330-200 ;2; Airbus A330-300 ;5; Boeing 737-300 ;2; Boeing 737-400 ;4; British-Aerospace 146-200 ;1; British-Aerospace Avro RJ100 ;12; British-Aerospace Avro RJ85 ;5; De-Havilland-Canada DHC-8-400 ;3;;;;;;;;;;
SP;SATA - Air Acores;;;;;;  ;NON;;3,51296E+11;sata.pt;;;;;;;;;8.6 ;6;; De-Havilland-Canada DHC-8-200 ;2; De-Havilland-Canada DHC-8-400 ;4;;;;;;;;;;;;;;;;;;;;;;;;;;
SQ;Singapore Airlines;;7 kg;55 x 40 x 20 cm;;20 kg; Repas et boissons inclus dans le billet  ;OUI;Star Alliance;+33 8 21 23 03 80;singaporeair.com;;Singapour (SIN) ;;17288;;;;;6.3 ;100;KrisFlyer ; Airbus A330-300 ;19; Airbus A340-500 ;5; Airbus A380-800 ;17; Boeing 777-200 ;32; Boeing 777-300 ;27;;;;;;;;;;;;;;;;;;;;
SS;Corsairfly;;10 kg;55 x 40 x 20 cm;;23 kg; Repas et boissons inclus dans le billet  ;NON;;08 20 04 20 42;corsair.fr;;Paris - Orly (ORY) ;;1981;;;;;17.7 ;7;A2f ; Airbus A330-200 ;2; Boeing 747-400 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;
ST;Germania;;;;;;  ;NON;;+49 30 52280 8266;germania.ch;;Berlin - Tegel (TXL) ;;28581;;;;;9.7 ;22;; Airbus A319-100 ;9; Airbus A321-200 ;2; Boeing 737-700 ;10;;;;;;;;;;;;;;;;;;;;;;;;
SU;Aeroflot Russian Airlines;;10 kg;55 x 40 x 20 cm;158 cm cumulés;23 kg; Repas et boissons inclus dans le billet  ;OUI;Skyteam;0805 98 0010;aeroflot.fr;Russie;Moscou - Cheremetievo (SVO) ;Moscou, Russie;11744;;0,79;0,09;;5.6 ;121;Bonus ; Airbus A319-100 ;15; Airbus A320-200 ;43; Airbus A321-200 ;20; Airbus A330-200 ;5; Airbus A330-300 ;12; Boeing 767-300 ;9; Ilyushin Il-96 ;6; McDonnell-Douglas MD-11 ;3; Sukhoi Superjet 100 ;8;;;;;;;;;;;;
SV;Saudi Arabian Airlines;Saudi Arabian Airlines [1946-1972]<br>Saudia [1972-1996]<br>Saudi Arabian Airlines [1996-2012]<br>Saudia [2012-] ;7kgs;55cm x 40cm x 20cm ;;20 kg;  ;NON;;153675050;saudiairlines.com;Arabie saoudite;Jeddah (JED) ;Djeddah, Arabie saoudite;17046;;;;;9.5 ;153;; Airbus A320-200 ;35; Airbus A321-200 ;15; Airbus A330-200 ;1; Airbus A330-300 ;15; Boeing 747-200 ;1; Boeing 747-400 ;26; Boeing 747-8 ;2; Boeing 747SP ;1; Boeing 767-300 ;1; Boeing 777-200 ;23; Boeing 777-300 ;12; Embraer ERJ-170 ;15; McDonnell-Douglas MD-11 ;4;;;;
SW;Air Namibia;;;55 x 38 x 20 cm;;23 kg;  ;NON;;+33 1 53437905;airnamibia.com;Namibie;Hosea Kutako de Windhoek;Windhoek;1946;;;;;5.5 ;10;; Airbus A319-100 ;4; Airbus A330-200 ;2; Embraer ERJ-135 ;4;;;;;;;;;;;;;;;;;;;;;;;;
SX;SkyWork Airlines;Sky Work AG ;;55 x 40 x 20 cm;;30 kg;  ;NON;;;flyskywork.com;Suisse;Berne (BRN) ;Berne;1983;;;;;13.4 ;7;; Dornier Do-328 ;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SY;Sun Country Airlines;;;;;;  ;NON;;;suncountry.com;;;;;;;;;12.2 ;21;; Boeing 737-700 ;6; Boeing 737-800 ;15;;;;;;;;;;;;;;;;;;;;;;;;;;
SZ;Air Southwest;;7 kg;55 x 35 x 25 cm;;23 kg; Tous les services sont payants  ;NON;;9,92446E+11;somonair.com;;Plymouth (PLH) ;;2003;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T3;Eastern Airways;;;56x45x25 cm;;15 kg;  ;NON;;4,41653E+11;easternairways.com;Royaume-Uni;Aéroport international de Humberside;Aéroport international de Humberside;1997;;;;;20.8 ;29;; British Aerospace Jetstream 41 ;17; Embraer ERJ-145 ;3; Saab 2000-Saab 2000 ;9;;;;;;;;;;;;;;;;;;;;;;;;
T5;Turkmenistan Airlines;;8kgs;50cm x 40cm x 20cm ;;;  ;NON;;;turkmenairlines.com;;;;;;;;;9.1 ;27;; Boeing 717-200 ;6; Boeing 737-300 ;3; Boeing 737-700 ;4; Boeing 737-800 ;5; Boeing 757-200 ;4; Boeing 777-200 ;3; Canadair CRJ-700 ;1;;;;;;;;;;;;;;;;
T6;1Time;1Time Airline (Pty) Ltd. ;;;;;  ;NON;;6323185942;air-swift.com;;;;2003;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T7;Twin Jet;;6 kg;115 cm cumulés;;20kg;  ;NON;;33892707737;twinjet.fr;France;Base Aérienne 114;Aix-en-Provence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TA;TACA International Airlines;;; <li><strong>Poids max. autorisé des bagages en soute :</strong> 32 kg;;;  ;NON;;33144505860;taca.com;Salvador; <li><strong>Nombre d'appareils :</strong> 42; <li><strong>Aéroport de base :</strong> Aéroport international de San Salvador;;;;;;6.6 ;42;; Airbus A319-100 ;9; Airbus A320-200 ;18; Airbus A321-200 ;3; Embraer ERJ-190 ;12;;;;;;;;;;;;;;;;;;;;;;
